Propellant,Type,Pollutants,Diffusion Coefficient (cm²/s)
Hypergolic Propellant (N2O4 + Hydrazine),Chemical Rocket,Nitrogen Oxides+Ammonia,0.17+0.24
Biofuel (e.g., Ethanol),Biofuel,CO2+Water Vapor,0.16+0.23
Hydrogen Peroxide (H2O2) - Low Concentration,Green Propellant,Water Vapor+Oxygen,0.23+0.20
Liquid Methane + Liquid Oxygen (LOX),Chemical Rocket,CO2+Water,0.16+0.23
Electric Propulsion (Ion Thrusters),Electric Propulsion,Low Levels of Ionized Particles,N/A
Hall Effect Thrusters,Electric Propulsion,Low Levels of Ionized Particles+Neutral Atoms,N/A
Gridded Ion Thrusters,Electric Propulsion,Low Levels of Ionized Particles+Neutral Atoms,N/A
Kerosene,Chemical Rocket,Particulates + CO2,0.1+0.16
Kerosene + Liquid Oxygen (LOX),Chemical Rocket,Particulates + CO2,0.1+0.16
Kerosene + Nitrogen Oxides,Chemical Rocket,CO2 + Water,0.16+0.23
